,text
524,come on now bud...  this number that you're texting is for one thing. Outcall...  hour fs...  donation...  come on be serious.
525,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
526,"t\nhe business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
527,Did you know that the majority of women involved in prostitution are doing it against their will and that many of them are minors? They are just young girls. 
528,Cooperation will be noted. Should I mark you down as uncooperative?
529,We'll mark you down as being uncooperative then sir
530,You got the right person.
531,I don't know ...
532,Hi there what's your name?
533,Would you be willing to learn a little and help be part of the solution?
534,yes
535,\nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\n
536,don't feed an industry that is wrong.
537,yes call me
538,Do your seats go down?
539,i aint waitn all nite
540,what u lookin 4?
541,u still interested?
542,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
543,wherever you need me to be in KC!
544,heyy ;)
545,"The business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
546,"trust me, i'm worth it baby.  besides you won't see my face anyway!"
547,i like to have fun.
548,"Okay, give me another call"
549,sure what did you have in mind
550,regardless please stop seeing women as objects. go on a dating websites not prostitution ones
551,https://realwomennow.com/
552,anything speshal?
553,i think u know
554,"Yousef there are better ways to handle things here, not going to girls like this."
555,You seem like a decent guy that doesn't want to hurt anyone.  We're a bunch of guys working to reduce demand for girls and women being sold for sex against their will. May I text you information on where to get anonymous help?
556,I believe you.
557,Sorry this is actually the correct one. Please look at www.saa-phoenix.org. Please see women as humans not objects for sale. You can do this. You are not alone.
558,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
559,for sure
560,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
561,I'm not sending unless you are serious. 
562,"Hey, do the right thing. Don't take advantage of girls in a dangerous situation."
563,that could mean a lot of things ;)
564,Fight the New Drug\nhttps://fightthenewdrug.org/overview/\n
565,ha we texted at same time
566,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
567,just pure evil
568,ican tell yourbetter than this would ypu likwe some resources
569,"So here's the deal, your phone # has been added to our list but I was wondering if you'd be willing to have a quick conversation. Your cooperation will be very helpful."
570,let me offer you something better... 
571,Are you aware that many of the girls who get involved in prostitution are minors?
572,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
573,i can be. yu still there
574,yes
575,"hey brother , Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?"
576,Please look at sa-detroit.com. Please see women as humans not objects for sale. You can do this. You are not alone.
577,incall/outcall?
578,are you aware of this???
579,in call or out?
580,Heyy :) r u looking for Alexa
581,Are you aware that many of the girls who get involved in prostitution are minors?
582,call me and we can chat
583,"Good. T\nhe business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
584,can you call?
585,I am
586,Gimme a call!
587,"hello, sorry i have not been by my phone. Whats up?"
588,are you two timing me with my freind Kendall?
589,sure baby... 100 roses hhr 150 roses hr
590,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
591,I party
592,I am just trying to help you stay out of jail
593,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
594,still interested?
595,yes
596,What can I do for you?
597,Let's have a conversation.
598,still interested or no? i'm in high demand tonight
599,are you telling me that you call random girls that you don't know or havent seen? Did you know you were calling an escort ad?
600,estoy disponible
601,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
602,you want to talk or you want to play around :)
603,hey :)
604,"Did you know that the majority of women in ads like this are doing it against their will and that many of them are minors. They are just young girls. \n(Even if you would never mess with a minor you 1) Can't verify their age or check their ID. 2) Even if the girl you're dealing with is an adult, chances are really good that she started\n when she was underage.) "
605,how about u?
606,what part of town?
607,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
608,"heyy there, what can I do 4 u???"
609,whatcha lookin 4
610,i love surprises!!
611,I appreciate the honesty.
612,how do u like torelax
613,"hi Brian, I am with a bunch of guys, we are trying to get into contact with men responding to ads such as yourself."
614,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?\n
615,We're a bunch of guys working to reduce demand for girls and women being sold for sex against their will. May I text you information on where to get anonymous help?
616,"For you, but what about for the women involved?"
617,Are you aware that buying sex is illegal?
618,u got roses:)
619,"sry, been bsy, u still there?"
620,what u lookn 4
621,"So am I correct that you responded to this add with the sole intention of ""saving"" someone? What organizations do you work with locally?"
622,you good... i just need BUSINES
623,sleep inn by the airport
624,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
625,If you're just looking for some conversation you know that's always free.
626,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
627,why are you looking here for friends?
628,hey  there catchin up after my shift still interested?
629,you coming?
630,??
631,What did you have in mind. Surfing? ;-)
632,"Ill go ahead and type this out again for you. \n\n, Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\nAre you aware that many of the girls who get involved in prostitution are minors?"
633,nothing is free
634,"I see you are committed to this act, so I won't try to argue.  Please just read the next text"
635,what u lookin for?
636,Just off Carson Rd now.
637,hi
638,depends on what 4
639,Those things are hard earned.
640,sry I wuz away
641,don't leave me hangin buddy this is one CRAZY story...
642,"yeah, work can get that way"
643,in call or out?
644,cool  thank you for your time 
645,Callme
646,thanks!  ????????
647,May I text you information on where to get anonymous help? tell me where you're at
648,i love boats!
649,Sean - You should sleep it off.
650,"If I sent you this thing that I think has been helpful at showing people what life is really like for me, would you look at it?"
651,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
652,Wow. You met a girl through this and got married?
653,cum find out
654,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
655,Call me
656,Hiyeeeeee! I am now...long day!
657,What do you mean
658,It was good talking to you. Thank you for your service and good evening.
659,Let the truth set you free
660,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
661,lol - Not a virus. And I'm a guy.
662,how much time?
663,"OK, I'm marking you as uncooperative. If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you."
664,ooh! tell me more!!
665,Please look at www.sasocal.org. Please see women as humans not objects for sale. You can do this. You are not alone.
666,you sure...i need the $
667,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
668,Are you aware that buying sex is illegal?
669,I know that guys like you can use help or you would not be doing this .
670,what u lookin 4
671,What are you looking for? We can do txt 
672,not too much. that is an hour or more. 
673,what u lookn 4
674,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
675,"Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
676,*you
677,incall or outcall?
678,what do you do for work?
679,well are you aware of that?
680,you st\nill with me? It's important that you stay on this thread. Your cooperation will be noted
681,u there
682,hi
683,sure thing
684,Do you see the same people consistently?
685,Su número de teléfono ha sido registrado y puede ser compartido con la policía. ¿Sabías que comprar sexo es ilegal?
686,Whats on the menu
687,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
688,"It doesn't matter where you are, I think we could connect if that's what you're looking for."
689,No we work with them very close.  Are resources are better than police so we share with them
690,just now saw text
691,i see.  sounds pretty fun....
692,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
693,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
694,yeah
695,im on outcall. wat r u looking for??
696,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
697,hello
698,you?
699,sooo....are you looking for an outcall with just you?
700,again your cooperation is noted. do you understand?
701,hi baby
702,hey big daddy ;0
703,i can get there for sure. anything specific
704,Well that depends on what you're giving and exactly what you have in mind.  What do you want to do?
705,Some as young as 14 1
706,We have you recorded in our system as having called or texted for buying sex 14 different times. If you keep doing this you're not going to like what the end result is gonna be.
707,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
708,what kind of massage r u lookin 4
709,that motel 6 is nice
710,did you watch it???
711,"Seriously, not trying to taunt you. Just trying to keep you out of trouble before you get in to it. Have a great weekend buddy!"
712,Ahh. HEre you go.
713,still interested hun?
714,Hi there. I'm hanging in there. Hbu?
715,own it and work through it
716,"Hey I'm not w/ the police, just with a bunch of guys who care about women getting trafficked and the guys buying them.  \nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?"
717,How old are you?
718,that is a misconception. The pimp forces them to have sex with men and the Pimp then takes all the money.
719,wrong number
720,"the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
721,u got roses
722,"call me, let's talk about it"
723,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
724,above my little bit
725,Like a drink and a chat.
726,thats another 25 roses...where and when
727,won't you give me a shout...  let's pick a place. I got a couple ideas
728,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
729,wow!! u really know what u want! I'm there. in or out call?
730,still there?
731,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
732,whas up
733,heyyy
734,i understand.
735,oh vanilla
736,u still there?
737,fine U/
738,OK party hard it is?
739,"hey there, what ru lookin for"
740,so u coming my way?
741,"sir, \nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?"
742,?
743,call me boo
744,You don't want to be labeled as uncooperative on our report do you?
745,hey
746,"Dude\n, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
747,depends what you are offering
748,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
749,Long day at work I bet.   Just tryin to help you out.
750,Where'd you go honey?
751,"I'll pray for you; help stop the exploitation of each other, especially the children and women."
752,Is it safe to say you aren't satisfied in your marriage?
753,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
754,Haha...All of the Above!
755,Either is good
756,"Nice try. The business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
757,Su # ahora se registra tratando de comprar sexo en línea y está disponible para el seguimiento de la policía. Se han hecho arrestos. Se señalará la cooperación. \n\n¿sabe que muchas de las niñas que se involucran en la prostitución son menores?
758,hello to you!   how can I help you?
759,What time and what lookin for?
760,HI!
761,sounds mutual.  lets do this
762,"Hello are you still there?Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
763,"shit, yeah i know you dont need a lesson.  are there people you can talk to? i know friends sometimes leave when they have to choose either you or your wife."
764,dont lie man you texted asking Stacey if she was available for an outcall.
765,Are you aware that many of the girls who get involved in prostitution are minors?
766,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
767,yeah that works
768,Depends on what you are looking for?
769,Can we talk about why you are looking for love in these ads?
770,wht u want for that hundo?
771,u still there?
772,"Hey, I'm not who you wanted to text. I’m working with a bunch of guys who are trying to interrupt demand for victims of trafficking and I’m wondering if you would be willing to help us out."
773,in or out call
774,"And this isn't Eva, by the way."
775,You still with me?
776,Can be where u located
777,u lookng for Taylor?
778,"don't understand, what do you mean?"
779,"Hey, how's it go'in"
780,My goal wasn't to make you feel guilty. But my goal was to stop you from purchasing a woman tonight. So I'm glad I succeeded in that. But this will just happen again unless you're willing to address the problem
781,Some as young as 14!
782,And dangerous for you as well as the girls.
783,u down?
784,"Sorry Hun, was in the shower."
785,i do too
786,no need to apologize. we're just trying to help guys who aren't aware of the reality. 
787,hi
788,against their will
789, ??
790,how are you?
791,I'm staying down by the stockyards.
792,You've Called before
793,"sure babe, call me an lets figure it out"
794,whatcha wanna do
795,Are you aware that prostitution is illegal?
796,hey
797,Is it because youre lonely?
798,did you just call? I think you hung up
799,"The girls in this biz are actually only faking this to get paid, so they can pay off the pimp who forces them into this. Its not a good deal."
800,"Yupp, just a lyft away  "
801,Please look at www.sa.org/f2f/united-states-of-america/kansas/. Please see women as humans not objects for sale. You can do this.
802,Whaaaaa?!
803,oh ya
804,cool what kinda fun
805,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
806,why not I like to be clear
807,what u like your babe's to call you?
808,Depends on what you want.  
809,"hey there! thanks for reaching out :) give me a call, we can talk about the details :)"
810,well...
811,were you aware of that sir?
812,"the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
813,And yeah!
814,Are you still there man? 
815,Hey there what's your name?
816,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
817,Wed?  u up 4 fun now
818,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
819,call me
820,What do you want to do at the QV?
821,"just asking, does hearing that change your perspective on these ads or are you just going to roll on to the next one?"
822,"Hello big boy, what are u interested in?"
823,why\n you hang up?
824,wanna chat?
825,I am now..u still around?
826,I want to hear about you first.
827,you tell me!
828,make an offer and I will consider
829,thats not how i roll
830,heeeeey :)
831,this won't be what you expected ..but want to help you ...
832,"Yes, the average age of starting prostitution is 13"
833,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
834,depends...u got roses?
835,My place or yours?
836,Is this your first time?
837,hey
838,hey there catchin up u still lookin\n\n\n
839,"thanks, give me a call"
840,call again
841,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
842,embarrassed of what?
843,how quick ;)
844,What kind of insurance?
845,yes. my speshalty
846,was her name Angelica?
847,"any services in mind? gfe\n, full service, etc?"
848,"Conan, are you still there?"
849,oh yes! gimme a call and we can discuss further :)
850,whatcha up to tonite?
851,hey!
852,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
853,depens
854,"the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\n\n"
855,u need another hh!
856,Hey Chaz...Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
857,"Ahh, that is up to you."
858,I understand
859,hey
860,Can you tell me what you're looking for?
861,Could be within the hour?
862,ok.. then please read carefully
863,wht were u thinkin
864,hey there ;)
865,Hey! 
866,dunno. u said roses.
867,Have you paid for sex before?
868,Hey hey hey.... I'm available now... Are you?
869,"Hot and bothered, how are you?"
870,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
871,No appointment without reference or ID
872,im down
873,is a risky business.... 
874,Are you aware that many of the girls who get involved in prostitution are minors?
875,But you don't need to pay. Go to a bar and ask to hangout with someone
876,May I text you information on where to get anonymous help?
877,give me a call
878,its beena good day
879,"good, what you lookin for"
880,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
881,gracias amigo
882,"Nope, Still not trapping."
883,whut r u lookin 4?
884,May I text you information on where to get anonymous help?
885,"hey there! I'm close to downtown, what about you?"
886,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
887,You can get jail time
888,I'm on the other line.
889,certainly
890,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
891,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
892,"You got me on that haha, what can I do for you 2nite?"
893,"So here's the deal, Jennifer isn't here right now. But I was wondering if you'd be willing to have a quick conversation. Your phone # has been added to our list and your cooperation will be very helpful."
894,do you know what can fill that void?
895,YOUR FIRST TIME!!!!!!!!!
896,"I'm not here to judge, I'm just trying to understand"
897,Depends on what you want me to do?
898,"i dont want u to blow it on a pic of me, i want u to blow it ON me"
899,That's fine.  Are you aware that many of the girls who get involved in prostitution are minors?
900,I did not put them up. He puts them up.
901,call me 2 discuss
902,Hey back...
903,its good
904,"this ain't the place to be lookin for ""just a friend to hangout"""
905,hi
906,give me a call and find out babe ;)
907,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
908,what r u lookin 4?
909,"pix aint free, sorry babe"
910,call me boo
911,take a bathroom break - I dont want to miss out on you!
912,sure am :)
913,no way
914,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
915,Do you understand?!
916,OK Derek :-)  I'd like to have a conversation to get to know you better to make sure you are safe.  Are you OK with that?
917,they are like radio shows that you can download to your phone or computer.  They have them for just about every topic you could think of.  There is even one on porn addiction.  
918,hey yea what's yer pleasure hon
919,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
920,"ss, oral ... ?"
921,???
922,Have you been dealing with loneliness a long time?
923,"Edwin, Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?"
924,hey
925,There are a few ways. Number one: Educate yourself on what prostitution really is. It's not what most people think. It's brutal. Devastating for the girls
926,no cops
927,hey
928,thats not that fra
929,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\n
930,Hangin in .  What's up?
931,Please look at www.sa.org/f2f/united-states-of-america/kansas/. Please see women as humans not objects for sale. You can do this. You are not alone.
932,i am how are you 
933,"hey, sorry I was unavailable earlier, u still looking for some fun ;)"
934,it's pretty good. how about you?
935,im near fraser now I made my way up here
936,im ending my shift--would you mind if i texted in a few days?
937,?
938,you?
939,Hey!
940,que te gusta
941,u still lookin?
942,"James, let's be honest with each other. We both know the nature of the ad you were calling about. "
943,"sometimes they ask for our records, then they set of sting operations"
944,Not what you're expecting ... but trying to help you ....
945,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
946,whatz ur pleasur hon?
947,still there?                                      \nWe're a bunch of guys trying to help another bunch of guys ... and the poor young girls trapped in this business.  Do you want to help them?
948,with a girl named Gia
949,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
950,ya still there?
951,"I'm sorry to hear about your spouse, but I'm more sorry to hear about your willingness to break covenant with her."
952,hi there
953,I'm not sending unless you are serious. 
954,hey why did you hang up?\n
955,incall/outcall?
956,don't be shy. 
957,aw man no way
958,Hey you
959,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
960,please give her a kiss in the head and say to her that her life is a bless for you... every work she did every word she said you has been a blessing
961,"hey, howru?"
962,"half hour, an hour or more?"
963,Can you have intimacy with somebody that isn't posting a picture that is pretty revealing?
964,that is ok.
965,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
966,What u lookin for?
967,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
968,cool
969,let's make a deal. we can talk about it
970,whats up?
971,time is money
972,I'm all about business. What's your cut?
973,u got roses?
974,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
975,heya
976,I'm still available r u??
977,this one? ??Super Freak????Fetish Friendly????Classy and Nasty????Ready Now??
978,I don't send free pics. Been down that road. That's why they're online.
979,detroit baby
980,"Hold on, I gotta tell you something"
981,Make what? A pizza? 
982,never been with one!  i'm kinda new to this.
983,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
984,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
985,"the \nbusiness is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
986,"M\nany people think it's harmless and that women are in full control. The truth is, most of these women are enslaved. They are forced to sell themselves by pimps who take 100% of the money and these same pimps control them through fear, beatings, threatening their families, and even getting them hooked on drugs. "
987,Are you aware that many of the girls who get involved in prostitution are minors?
988,This isnt your first time then
989,either but the rate depends on what u want :P
990,what does $75 plus gas sound like?
991,no free spank bank thats my rule
992,"Hey we're not the police, just a bunch of guys that care about women getting trafficked and the men who are addicted to buying them online.  seriously Your # is now recorded attempting to buy sex online and is available for police follow up.  Here's soe info you should know!\n\nAre you aware that many of the girls who get involved in prostitution are minors?"
993,what r u lookin 4
994,how do you fell about what you are doing?
995,"este negocio es peligroso, siempre alguien sale herido.... muchas veces las personas son forzadas a trabajar en esto por enganos o forzadas"
996,"the more you contact, the higher on the priority list you go"
997,And dangerous. Imagine letting a girl into your home whos being followed by her pimp.Imagine being robbed or blackmailed. Or arrested for sex with a minor.
998,right
999,some pics
